Name,Calories,Protein,Carbs,Fat
Milk,42.00,3.40,5.00,1.00
Chicken Breast,165.00,31.00,0.00,3.60
Chicken Thigh,209.00,26.00,0.00,10.90
Lettuce,15.00,1.40,2.90,0.20
Apple,52.00,0.30,14.00,0.20
Banana,96.00,1.30,27.00,0.30
Broccoli,55.00,3.70,11.00,0.60
Carrot,41.00,0.90,10.00,0.20
Egg,155.00,13.00,1.10,11.00
Cheddar Cheese,403.00,25.00,1.30,33.00
Whole Wheat Bread,247.00,12.00,41.00,4.20
White Rice,130.00,2.70,28.00,0.30
Oats,389.00,17.00,66.00,7.00
Peanut Butter,588.00,25.00,20.00,50.00
Yogurt,59.00,10.00,3.60,0.40
Salmon,208.00,20.00,0.00,13.00
Tuna,132.00,28.00,0.00,1.40
Lean Beef,250.00,26.00,0.00,15.00
Pork,242.00,27.00,0.00,14.00
Shrimp,99.00,24.00,0.00,0.30
Spinach,23.00,2.90,3.60,0.40
Cucumber,16.00,0.70,3.60,0.10
Tomato,18.00,0.90,3.90,0.20
Potato,77.00,2.00,17.00,0.10
Sweet Potato,86.00,1.60,20.00,0.10
Quinoa,120.00,4.40,21.00,1.90
Lentils,116.00,9.00,20.00,0.40
Black Beans,132.00,8.90,23.00,0.50
Kidney Beans,127.00,8.70,22.00,0.50
Chickpeas,164.00,8.90,27.00,2.60
Tofu,76.00,8.00,1.90,4.80
Almonds,576.00,21.00,22.00,49.00
Walnuts,654.00,15.00,14.00,65.00
Olive Oil,884.00,0.00,0.00,100.00
Butter,717.00,0.90,0.10,81.00
Sour Cream,193.00,2.90,4.60,20.00
Ice Cream,207.00,3.50,23.00,11.00
Coffee (black),2.00,0.10,0.00,0.10
Tea,1.00,0.00,0.00,0.00
Cocoa Powder,228.00,19.60,57.90,13.70
Honey,304.00,0.30,82.00,0.00
Maple Syrup,260.00,0.00,67.00,0.00
Corn,86.00,3.20,19.00,1.20
Peas,81.00,5.40,14.00,0.40
Mushrooms,22.00,3.10,3.30,0.30
Zucchini,17.00,1.20,3.10,0.30
Bell Pepper,31.00,1.00,6.00,0.30
Wood Honey,323.60,0.40,80.50,0.00
calve cocktail sauce,180.80,0.70,13.00,14.00
