DateTime,Weight(kg),Food,Calories,Protein,Carbs,Fat
offline mode,1.00,Banana,960.00,13.00,270.00,3.00
offline mode,1000,Banana,960.00,13.00,270.00,3.00
offline mode,1000,Banana,960.00,13.00,270.00,3.00
offline mode,1000,Banana,960.00,13.00,270.00,3.00
2025-04-29 00:51:11,1000,Banana,960.00,13.00,270.00,3.00
2025-04-29 00:51:39,1000,Chicken Breast,1650.00,310.00,0.00,36.00
offline mode,1000,Mushrooms,220.00,31.00,33.00,3.00
2025-04-29 01:09:09,1000,Milk,420.00,34.00,50.00,10.00
2025-04-29 01:09:10,1000,Lettuce,150.00,14.00,29.00,2.00
2025-04-29 01:09:11,1000,Banana,960.00,13.00,270.00,3.00
2025-04-29 02:56:59,1000,Honey,3040.00,3.00,820.00,0.00
2025-04-29 02:58:02,1000,Milk,420.00,34.00,50.00,10.00
2025-04-29 03:11:49,1000,Milk,420.00,34.00,50.00,10.00
2025-04-29 03:13:51,1000,Wood Honey,3236.00,4.00,805.00,0.00
2025-04-29 03:20:16,1000,Calve Whisky Cocktail,1808.00,7.00,130.00,140.00
2025-04-29 03:26:55,1000,Milk,420.00,34.00,50.00,10.00
offline mode,1000,Calve Whisky Cocktail,1808.00,7.00,130.00,140.00
2025-04-29 03:31:27,1000,Broccoli,550.00,37.00,110.00,6.00
2025-04-29 03:32:14,1000,Coffee (black),20.00,1.00,0.00,1.00
2025-04-29 03:32:22,1000,Tea,10.00,0.00,0.00,0.00
2025-04-29 03:32:24,1000,Sweet Potato,860.00,16.00,200.00,1.00
offline mode,1000,Chicken Breast,1650.00,310.00,0.00,36.00
offline mode,1000,Chicken Breast,1650.00,310.00,0.00,36.00
offline mode,1000,Chicken Breast,1650.00,310.00,0.00,36.00
offline mode,1000,Chicken Breast,1650.00,310.00,0.00,36.00
offline mode,1000,Chicken Breast,1650.00,310.00,0.00,36.00
offline mode,1000,Chicken Breast,1650.00,310.00,0.00,36.00
offline mode,1000,Chicken Breast,1650.00,310.00,0.00,36.00
offline mode,1000,Chicken Breast,1650.00,310.00,0.00,36.00
offline mode,1000,Chicken Breast,1650.00,310.00,0.00,36.00
offline mode,1000,Chicken Breast,1650.00,310.00,0.00,36.00
offline mode,1000,Chicken Breast,1650.00,310.00,0.00,36.00
offline mode,1000,Chicken Breast,1650.00,310.00,0.00,36.00
offline mode,1000,Chicken Breast,1650.00,310.00,0.00,36.00
offline mode,1000,Chicken Breast,1650.00,310.00,0.00,36.00
offline mode,1000,Chicken Breast,1650.00,310.00,0.00,36.00
offline mode,1000,Chicken Breast,1650.00,310.00,0.00,36.00
offline mode,1000,Chicken Breast,1650.00,310.00,0.00,36.00
offline mode,1000,Chicken Breast,1650.00,310.00,0.00,36.00
offline mode,1000,Chicken Breast,1650.00,310.00,0.00,36.00
offline mode,1000,Calve Whisky Cocktail,1808.00,7.00,130.00,140.00
offline mode,1000,Calve Whisky Cocktail,1808.00,7.00,130.00,140.00
offline mode,1000,Calve Whisky Cocktail,1808.00,7.00,130.00,140.00
offline mode,1000,Calve Whisky Cocktail,1808.00,7.00,130.00,140.00
offline mode,1000,Calve Whisky Cocktail,1808.00,7.00,130.00,140.00
offline mode,1000,Calve Whisky Cocktail,1808.00,7.00,130.00,140.00
offline mode,1000,Calve Whisky Cocktail,1808.00,7.00,130.00,140.00
offline mode,1000,Calve Whisky Cocktail,1808.00,7.00,130.00,140.00
offline mode,1000,Calve Whisky Cocktail,1808.00,7.00,130.00,140.00
offline mode,1000,Calve Whisky Cocktail,1808.00,7.00,130.00,140.00
offline mode,1000,Calve Whisky Cocktail,1808.00,7.00,130.00,140.00
offline mode,1000,Calve Whisky Cocktail,1808.00,7.00,130.00,140.00
offline mode,1000,Calve Whisky Cocktail,1808.00,7.00,130.00,140.00
offline mode,1000,Calve Whisky Cocktail,1808.00,7.00,130.00,140.00
offline mode,1000,Calve Whisky Cocktail,1808.00,7.00,130.00,140.00
offline mode,1000,Calve Whisky Cocktail,1808.00,7.00,130.00,140.00
offline mode,1000,Calve Whisky Cocktail,1808.00,7.00,130.00,140.00
offline mode,1000,Calve Whisky Cocktail,1808.00,7.00,130.00,140.00
offline mode,1000,Calve Whisky Cocktail,1808.00,7.00,130.00,140.00
offline mode,1000,Calve Whisky Cocktail,1808.00,7.00,130.00,140.00
offline mode,1000,Calve Whisky Cocktail,1808.00,7.00,130.00,140.00
offline mode,1000,Calve Whisky Cocktail,1808.00,7.00,130.00,140.00
offline mode,1000,Calve Whisky Cocktail,1808.00,7.00,130.00,140.00
